Game,Winner,Reason,TotalMoves
850,Draw,Max Moves,200
851,Draw,Max Moves,200
852,Draw,Max Moves,200
853,Draw,Max Moves,200
854,Draw,Max Moves,200
855,Draw,Max Moves,200
856,Draw,Max Moves,200
857,Draw,Max Moves,200
858,Draw,Max Moves,200
859,Draw,Max Moves,200
860,Draw,Max Moves,200
861,Draw,Max Moves,200
862,Draw,Max Moves,200
863,Draw,Max Moves,200
864,Draw,Max Moves,200
865,Draw,Repetition,57
866,Draw,Max Moves,200
867,Draw,Max Moves,200
868,Draw,Max Moves,200
869,Draw,Max Moves,200
870,Draw,Max Moves,200
871,Draw,Repetition,129
872,Draw,Max Moves,200
873,Draw,Max Moves,200
874,Draw,Max Moves,200
875,Draw,Max Moves,200
876,Draw,Max Moves,200
877,Draw,Max Moves,200
878,Draw,Max Moves,200
879,Draw,Max Moves,200
880,Draw,Max Moves,200
881,Draw,Max Moves,200
882,Draw,Max Moves,200
883,Draw,Repetition,117
884,Draw,Max Moves,200
885,Draw,Max Moves,200
886,Draw,Max Moves,200
887,Draw,Repetition,83
888,Draw,Max Moves,200
889,Draw,Max Moves,200
890,Draw,Max Moves,200
891,Bot1_White,Checkmate,83
892,Draw,Max Moves,200
893,Draw,Max Moves,200
894,Draw,Max Moves,200
895,Draw,Max Moves,200
896,Draw,Max Moves,200
897,Draw,Max Moves,200
898,Draw,Max Moves,200
899,Draw,Max Moves,200
900,Draw,Max Moves,200
901,Draw,Max Moves,200
902,Draw,Max Moves,200
903,Draw,Max Moves,200
904,Bot1_Black,Checkmate,54
905,Draw,Max Moves,200
906,Draw,Max Moves,200
907,Draw,Max Moves,200
908,Bot1_Black,Checkmate,76
909,Draw,Max Moves,200
910,Draw,Max Moves,200
911,Draw,Max Moves,200
912,Draw,Max Moves,200
913,Draw,Max Moves,200
914,Draw,Repetition,95
915,Draw,Max Moves,200
916,Draw,Max Moves,200
917,Draw,Repetition,175
918,Draw,Max Moves,200
919,Draw,Max Moves,200
920,Draw,Max Moves,200
921,Draw,Max Moves,200
922,Draw,Max Moves,200
923,Draw,Max Moves,200
924,Draw,Max Moves,200
925,Draw,Max Moves,200
926,Draw,Max Moves,200
927,Draw,Max Moves,200
928,Draw,Max Moves,200
929,Draw,Repetition,141
930,Draw,Max Moves,200
931,Draw,Max Moves,200
932,Draw,Max Moves,200
933,Draw,Max Moves,200
934,Draw,Max Moves,200
935,Draw,Max Moves,200
936,Draw,Stalemate,119
937,Draw,Max Moves,200
938,Draw,Max Moves,200
939,Draw,Max Moves,200
940,Draw,Max Moves,200
941,Draw,Max Moves,200
942,Draw,Max Moves,200
943,Draw,Max Moves,200
944,Bot1_Black,Checkmate,54
945,Draw,Repetition,131
946,Draw,Max Moves,200
947,Draw,Max Moves,200
948,Draw,Max Moves,200
949,Draw,Max Moves,200
950,Draw,Max Moves,200
951,Draw,Max Moves,200
952,Draw,Max Moves,200
953,Draw,Max Moves,200
954,Draw,Max Moves,200
955,Draw,Max Moves,200
956,Draw,Max Moves,200
957,Draw,Max Moves,200
958,Draw,Max Moves,200
959,Draw,Max Moves,200
960,Draw,Max Moves,200
961,Draw,Max Moves,200
962,Draw,Max Moves,200
963,Draw,Max Moves,200
964,Draw,Max Moves,200
965,Draw,Max Moves,200
966,Draw,Max Moves,200
967,Draw,Max Moves,200
968,Draw,Max Moves,200
969,Draw,Max Moves,200
970,Draw,Max Moves,200
971,Draw,Max Moves,200
972,Draw,Max Moves,200
973,Draw,Max Moves,200
974,Draw,Max Moves,200
975,Draw,Max Moves,200
976,Draw,Max Moves,200
977,Draw,Max Moves,200
978,Draw,Max Moves,200
979,Draw,Max Moves,200
980,Draw,Repetition,133
981,Draw,Max Moves,200
982,Draw,Max Moves,200
983,Draw,Max Moves,200
984,Draw,Max Moves,200
985,Draw,Max Moves,200
986,Draw,Max Moves,200
987,Draw,Max Moves,200
988,Draw,Max Moves,200
989,Draw,Max Moves,200
990,Draw,Max Moves,200
991,Draw,Max Moves,200
992,Draw,Max Moves,200
993,Draw,Max Moves,200
